Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR3437075_R1_process2	SRR3437075_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6629254.0	473.8 Mbp	0.0	15-91	49.0	69.56353362228158	70.69908680524235	86	pass	pass	pass	pass	pass	warn	warn	warn	pass	pass
SRR3437075_R2_process2	SRR3437075_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6629254.0	416.8 Mbp	0.0	15-91	48.0	78.73768804842027	62.188602518473424	70	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437076_R1_process2	SRR3437076_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8277903.0	587.1 Mbp	0.0	15-91	50.0	59.50928737493311	70.19788127500406	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437076_R2_process2	SRR3437076_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8277903.0	590.8 Mbp	0.0	15-91	49.0	62.33336740619525	70.58505445159238	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437077_R1_process2	SRR3437077_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17809640.0	1.3 Gbp	0.0	15-91	50.0	55.483258049173024	77.21978793507337	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437077_R2_process2	SRR3437077_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17809640.0	1.3 Gbp	0.0	15-91	50.0	55.161791628530224	74.84921188749463	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437078_R1_process2	SRR3437078_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9822791.0	788.5 Mbp	0.0	15-91	50.0	44.51064924364876	79.41617041429467	90	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
SRR3437078_R2_process2	SRR3437078_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9822791.0	701.5 Mbp	0.0	15-91	50.0	49.92184689095926	70.62800745735098	90	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
SRR3437079_R1_process2	SRR3437079_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8641532.0	602.8 Mbp	0.0	15-91	53.0	55.97547248462376	69.044176194684	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437079_R2_process2	SRR3437079_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8641532.0	601.5 Mbp	0.0	15-91	52.0	59.60604099845246	68.83465107807272	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437080_R1_process2	SRR3437080_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4511880.0	360.3 Mbp	0.0	15-91	50.0	48.35571383829976	79.01073610113744	90	pass	pass	pass	pass	warn	pass	warn	fail	pass	pass
SRR3437080_R2_process2	SRR3437080_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4511880.0	325.6 Mbp	0.0	15-91	50.0	53.35482690997385	71.38244811475482	90	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR3437081_R1_process2	SRR3437081_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4796603.0	384.6 Mbp	0.0	15-91	49.0	70.82664720047248	79.33116707803418	90	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437081_R2_process2	SRR3437081_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4796603.0	348.2 Mbp	0.0	15-91	49.0	74.62903783169975	71.79737826957954	90	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437082_R1_process2	SRR3437082_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4569869.0	364.8 Mbp	0.0	15-91	50.0	66.96676684507533	78.98001627617772	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437082_R2_process2	SRR3437082_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4569869.0	331.3 Mbp	0.0	15-91	50.0	71.00731082684385	71.70397838537603	90	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437083_R1_process2	SRR3437083_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8573532.0	606 Mbp	0.0	15-91	50.0	67.09439716855242	69.96038622122131	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437083_R2_process2	SRR3437083_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8573532.0	609.1 Mbp	0.0	15-91	50.0	70.74753596201917	70.25648495859116	90	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437084_R1_process2	SRR3437084_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6190112.0	494.6 Mbp	0.0	15-91	50.0	62.678338389468195	79.06103443685672	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437084_R2_process2	SRR3437084_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6190112.0	447.9 Mbp	0.0	15-91	50.0	66.76734635812767	71.57161776717449	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437085_R1_process2	SRR3437085_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6611676.0	534.9 Mbp	0.0	15-91	48.0	55.73764209960685	80.04738707704371	90	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR3437085_R2_process2	SRR3437085_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6611676.0	478.7 Mbp	0.0	15-91	48.0	60.77268680693939	71.61404823829842	90	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR3437086_R1_process2	SRR3437086_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9722151.0	691.3 Mbp	0.0	15-91	49.0	61.7859244624493	70.3701368143737	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437086_R2_process2	SRR3437086_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9722151.0	694.2 Mbp	0.0	15-91	49.0	64.20248501535754	70.61812535106685	90	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
SRR3437087_R1_process2	SRR3437087_R1_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12127217.0	948.3 Mbp	0.0	15-91	49.0	70.83192919653474	77.35725616190425	90	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR3437087_R2_process2	SRR3437087_R2_process2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12127217.0	914.4 Mbp	0.0	15-91	49.0	71.21218555536078	74.5934527270354	90	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
